	Дата	Корпус	Кол-во активных квартир
0	2023-07-03	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-03	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-03	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-03	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-03	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-03	ул. Валентины Трофимовой, д. 12	73
6	2023-07-03	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-03	ул. Валентины Трофимовой, д. 8	129
8	2023-07-03	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-03	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-03	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-03	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-03	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-03	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-03	ул. Монтажников, д. 38	109
15	2023-07-03	ул. Монтажников, д. 40	204
16	2023-07-03	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-03	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-03	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-04	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-04	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-04	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-04	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-04	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-04	ул. Валентины Трофимовой, д. 12	73
6	2023-07-04	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-04	ул. Валентины Трофимовой, д. 8	129
8	2023-07-04	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-04	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-04	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-04	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-04	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-04	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-04	ул. Монтажников, д. 38	109
15	2023-07-04	ул. Монтажников, д. 40	204
16	2023-07-04	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-04	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-04	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
0	2023-07-05	ул. Александра Митинского, д.  6, (ГП-3.1)	1
1	2023-07-05	ул. Александра Митинского, д. 4, (ГП 3.8)	66
2	2023-07-05	ул. Александра Пушкина д.3, (ГП-7.7)	120
3	2023-07-05	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11)	249
4	2023-07-05	ул. Александра Пушкина, д. 5, (ГП-7.6)	266
5	2023-07-05	ул. Валентины Трофимовой, д. 12	73
6	2023-07-05	ул. Валентины Трофимовой, д. 2 корпус 1, (ГП-3.3)	8
7	2023-07-05	ул. Валентины Трофимовой, д. 8	129
8	2023-07-05	ул. Константина Посьета, д.  4к1, (ГП-5.2)	267
9	2023-07-05	ул. Монтажников 36, (ГП-4.7)	31
10	2023-07-05	ул. Монтажников 42, к.1 (ГП-5-12)	110
11	2023-07-05	ул. Монтажников, 42б. (ГП-6.1)	224
12	2023-07-05	ул. Монтажников, д.  42, (ГП-5.10)	224
13	2023-07-05	ул. Монтажников, д.  42а, (ГП-5.11)	224
14	2023-07-05	ул. Монтажников, д. 38	109
15	2023-07-05	ул. Монтажников, д. 40	204
16	2023-07-05	ул. Федора Достоевского, д.  22, (ГП-7.10.2)	5
17	2023-07-05	ул. Федора Достоевского, д.  24, (ГП-7.10.3)	6
18	2023-07-05	ул. Федора Достоевского, д.  26, (ГП-7.1)	255
